"name","code","indicator","indicator_code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.619117736816","97.1428604125977","94.4040679931641","94.755241394043","90.2159194946289","90.5598983764648","88.1979675292969","93.1861190795898","95.5882415771484","95.1330337524414","96.2425765991211","94.7861022949219","","","96.5706405639648","101.180557250977","","","","","","","","",
"Africa Eastern and Southern","AFE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","41.6629981994629","42.637508392334","43.3848991394043","44.429931640625","45.4001998901367","46.2538108825684","47.8404083251953","49.3253402709961","51.9174003601074","52.6832809448242","54.075008392334","55.2577514648438","55.7916107177734","58.8742713928223","55.2768516540527","54.8070411682129","53.6615295410156","52.3084907531738","50.6883811950684","51.5261611938477","52.1606483459473","51.1751708984375","52.1927604675293","50.7563018798828","50.8544692993164","51.0122604370117","50.9097900390625","50.0661392211914","50.3088989257813","50.4125289916992","52.4814109802246","54.2634696960449","55.9368896484375","57.2593002319336","59.5904998779297","61.8936386108398","63.5756912231445","66.9495315551758","70.1065673828125","69.5502166748047","68.3240737915039","68.0312576293945","67.6544494628906","67.5930099487305","67.2124328613281","67.4798126220703","68.6649017333984","70.1976623535156","70.9132766723633","71.9691619873047","","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","16.6569995880127","","","17.8807601928711","19.6528396606445","","26.3732395172119","32.7061195373535","","","17.8910293579102","18.5706005096436","","","","","","","","27.5751705169678","","","","","","","","","","","","","","","","","","","","","","","80.4950408935547","84.4149475097656","85.6253280639648","84.3305892944336","","","",
"Africa Western and Central","AFW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","53.6693496704102","53.6839218139648","53.4420013427734","53.548999786377","53.2348594665527","54.1681289672852","54.6862487792969","55.3771514892578","56.5767517089844","56.4631309509277","56.6325416564941","57.169490814209","57.4984016418457","57.6813201904297","57.7846298217773","57.5678100585938","57.8791999816895","58.0313110351563","58.1525917053223","57.8309097290039","58.0543518066406","58.2739601135254","58.5173606872559","58.5870590209961","58.4530487060547","58.1681213378906","58.9360504150391","59.0195083618164","59.3540992736816","59.7869110107422","60.487621307373","61.3617515563965","61.8207206726074","62.1470603942871","63.0588684082031","64.991813659668","68.535400390625","65.4572372436523","62.1327209472656","64.6572265625","65.5557098388672","66.9354019165039","67.8833084106445","68.3475723266602","68.7730026245117","69.780143737793","70.4897079467773","70.0977630615234","70.1123962402344","70.0650634765625","70.1505279541016","","",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","42.9405708312988","37.2060203552246","","","","","","","","","29.2000007629395","","","","","","","","","","","","","","","","","39.1970100402832","38.7875785827637","39.8072090148926","46.1871490478516","","","","","","","","","","","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.5860900878906","","","","96.5826873779297","96.3939437866211","","94.4481735229492","93.4377975463867","","","96.1924133300781","92.3935928344727","91.0514907836914","88.8362426757813","92.9826583862305","98.6721267700195","89.539176940918","100.984718322754","98.8615875244141","99.8815536499023","101.983703613281","101.537857055664","103.322746276855","100.732406616211","98.1558303833008","",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","49.1357192993164","49.0543212890625","48.6949310302734","50.2052917480469","51.6967887878418","54.6998405456543","56.3058204650879","58.3688011169434","57.7227210998535","53.4964294433594","56.5457992553711","59.9771499633789","60.7207107543945","61.8922080993652","64.2521591186523","68.3073120117188","67.368766784668","67.2732391357422","67.7319183349609","67.9199066162109","69.2625427246094","69.2880706787109","70.0737228393555","70.3044509887695","71.1640090942383","72.2020721435547","73.2523193359375","74.1120300292969","75.1240081787109","76.0034027099609","75.5474166870117","76.5634765625","77.4195327758789","79.8280410766602","81.66796875","82.6951522827148","80.9048461914063","82.708381652832","84.5746536254883","82.8910980224609","84.3658294677734","85.1756896972656","87.0352630615234","85.0606079101563","85.9944763183594","84.901237487793","84.3516998291016","84.5027694702148","85.4174575805664","86.5377502441406","87.3351211547852","","",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","39.5404281616211","41.7352905273438","49.5040702819824","56.757381439209","60.6988716125488","65.7079162597656","68.134391784668","72.3218536376953","81.8811187744141","81.2938385009766","78.2446594238281","74.3179168701172","75.9476699829102","76.3806228637695","74.7165908813477","82.19580078125","91.0653991699219","97.5119323730469","95.8974990844727","93.3029479980469","91.9644470214844","89.8623809814453","85.7958374023438","87.8336791992188","85.2947692871094","83.7565612792969","80.2841415405273","76.5774536132813","80.7329864501953","","","","","97.4508895874023","","","","","93.9415588378906","95.6869888305664","99.1491470336914","103.520202636719","","","","111.938819885254","104.711196899414","","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","70.9723434448242","71.8338928222656","","","75.5764389038086","78.9116897583008","78.6395416259766","","","","","","","","","","","","","","","","","","98.5775985717773","","92.9632568359375","91.5287628173828","99.1517181396484","97.2020416259766","97.3464736938477","96.821662902832","100.515830993652","98.1679382324219","96.579948425293","94.6418304443359","97.1024780273438","99.8678207397461","103.14217376709","103.303871154785","103.567413330078","103.887710571289","103.352249145508","101.645011901855","103.106437683105","102.973739624023","103.893569946289","99.962760925293","98.7062530517578","98.5472412109375","101.345207214355","","",
"Armenia","ARM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.263801574707","","","93.8955001831055","","","","","93.7057571411133","89.271110534668","100.047470092773","92.6915817260742","93.8112106323242","102.069709777832","105.792892456055","","94.495231628418","93.808967590332","93.851692199707","","96.652229309082","94.5906372070313","90.7516098022461","91.9877090454102","89.8789596557617","93.1385192871094","93.1652908325195","91.8196868896484","",
"American Samoa","ASM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","78.6484985351563","79.9885330200195","","","","","","","","","","","","","","","","85.8505630493164","","","","","","","","","","","","","","","","110.554801940918","101.263298034668","106.60994720459","103.676948547363","","108.108108520508","111.150321960449","92.5554809570313","93.5878982543945","98.1857833862305","96.1988296508789","99.4841537475586","","","",
"Australia","AUS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","94.9966583251953","96.8725433349609","97.0621032714844","","","","","","","","","","","","","","","","","","","","","","","","","100.91771697998","100.874877929688","","","100.222198486328","","98.7443008422852","","","","","","","96.7720184326172","96.693717956543","97.6060104370117","98.6918487548828","100.37378692627","99.6567230224609","99.4531784057617","99.8130035400391","99.4085006713867","99.6652603149414","","",
