"name","code","indicator","indicator_code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165.832561519295","164.161054739235","162.695216656375","161.379202446574","161.983963117422","156.580561402565","153.998650706914","151.260901621137","147.410842670347","142.992355070727","138.180234738639","132.744121726178","127.135609785381","121.43551493647","115.828866802817","110.471932277019","105.457181745716","100.411263900067","95.3811815990238","90.7111291854921","86.4163803141884","82.4915063909405","78.7877273029938","75.4426897327386","72.4923836880967","69.8691858575132","67.3639290496706","65.0910528384151","62.8571893618423","60.8559168091663","59.0873088673173","57.2847270993243","",
"Afghanistan","AFG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","357.3","351.7","345.8","340.2","334.8","329.4","323.9","318.4","312.8","307.2","301.9","296.4","290.7","285.2","279.6","274","268.3","262.4","256.4","250.3","243.8","237.3","230.8","224.2","217.7","211.1","204.6","197.9","191.4","184.9","178.5","172.2","166.3","160.8","155.5","150.6","146","141.6","137.3","133.3","129.3","125.3","121.2","117","112.8","108.6","104.3","100","95.9","91.8","87.8","84","80.3","76.8","73.4","70.2","67.2","64.6","62.2","59.9","57.8","55.7","",
"Africa Western and Central","AFW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197.863116848408","196.252780583923","194.790096139107","193.237227052167","191.381598817992","189.017342688311","186.251978524658","182.656794500028","178.628626755788","174.080193051913","169.207126206289","164.127400505313","158.835689865859","153.420606612919","148.124428789562","142.895673135497","138.014558662861","133.515350645495","129.379974797983","125.524282304507","122.054565158149","119.025138083374","116.249469226725","113.664250457502","111.432027289881","109.185388765793","106.891019087017","104.627006239061","102.014143939794","99.5519597978545","96.92830727855","94.3722350431445","",
"Angola","AGO","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","238.9","236.1","233.5","230.8","228.5","226.6","225.5","224.7","224","223.7","223.5","223.5","223.6","223.7","223.3","222.4","220.9","218.2","214.6","210.3","205.1","198.9","191.9","184.2","175.5","166.2","156.8","147.1","137.5","128.5","120","112.2","104.9","98.3","92.9","88.3","84.4","81.1","78","75","72.1","69.4","",
"Albania","ALB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","96.4","88.7","81.3","74.8","69","63.7","58.9","54.8","51.1","47.9","45.2","42.8","40.8","39.1","37.6","36.3","35","33.8","32.5","31.2","29.9","28.5","27.2","25.8","24.4","22.9","21.5","20","18.5","17.1","15.8","14.5","13.3","12.2","11.2","10.5","9.9","9.6","9.4","9.3","9.3","9.4","9.4","9.5","",
"Andorra","AND","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","16.5","15.6","14.7","13.9","13.1","12.4","11.7","11.1","10.5","9.9","9.4","8.9","8.4","8","7.6","7.2","6.9","6.5","6.3","6","5.6","5.4","5.1","4.8","4.6","4.3","4.1","3.9","3.7","3.5","3.4","3.2","3.1","3","2.8","2.8","",
"Arab World","ARB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.0406654292245","79.6190207917295","76.7767380598465","74.3365160214649","72.2031885489823","70.167265400947","68.0527617353526","66.0017315897126","63.9707750404745","62.0263499825706","59.9994117704343","57.9877168683516","56.1642793938925","54.333914954617","52.6152309311117","50.9579602168142","49.3703985819209","47.5330441348165","45.8533635673687","44.3038400628393","42.7782777951599","41.5825797867018","41.2585255621034","40.57842919506","39.6726270161151","38.7619464817831","38.1830714590474","36.9050681935873","36.4049846105514","35.7255030718043","34.8094619005862","34.4545113311025","",
"United Arab Emirates","ARE","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","201.6","191.1","181.1","170.8","160.4","149.7","138.9","128.1","117.6","107.5","97.9","88.8","80.4","72.8","65.9","59.6","53.8","48.5","43.6","39.2","35.3","32","29.1","26.6","24.6","22.7","21.2","19.8","18.6","17.5","16.5","15.7","14.9","14.2","13.6","13.1","12.6","12.2","11.8","11.5","11.1","10.9","10.6","10.3","10.1","9.8","9.6","9.4","9.2","8.9","8.7","8.4","8.2","8","7.8","7.6","7.4","7.2","7","6.8","6.6","6.4","",
"Argentina","ARG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","72.4","71.7","70.9","69.7","68.2","66.2","63.4","59.9","55.7","51.2","46.8","42.9","39.4","36.5","34.1","32.1","30.6","29.6","29.1","29","28.9","28.8","28.3","27.6","26.5","25.4","24.3","23.2","22.2","21.3","20.4","19.7","19","18.3","17.7","17.1","16.6","16.1","15.7","15.4","15","14.5","13.9","13.3","12.7","12.2","11.6","11","10.3","9.5","8.6","7.7","6.9","",
